date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:47	128/128	---MCZ	200	added ('OK')	text/plain	date:Thu,%2019%20Sep%202024%2018:35:14%20GMT	https://elfbarbrasil.com/robots.txt		(from )
15:32:48	215630/215630	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Sep%202024%2018:35:14%20GMT	https://elfbarbrasil.com/?s=ew9000&post_type=product	C:/Os%20meus%20Sites/1001%20noites/elfbarbrasil.com/index1596.html	(from )
15:32:48	1548/1548	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2020:10:44%20GMT	https://elfbarbrasil.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=3.34	C:/Os%20meus%20Sites/1001%20noites/elfbarbrasil.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/mainf42f.css	(from https://elfbarbrasil.com/?s=ew9000&post_type=product)
15:32:48	24659/24659	---MCZ	200	added ('OK')	text/css	date:Sun,%2021%20Jan%202024%2022:34:42%20GMT	https://elfbarbrasil.com/wp-content/plugins/woocommerce-product-filters/assets/css/plugin.css?ver=1.4.19	C:/Os%20meus%20Sites/1001%20noites/elfbarbrasil.com/wp-content/plugins/woocommerce-product-filters/assets/css/plugin6648.css	(from https://elfbarbrasil.com/?s=ew9000&post_type=product)
15:32:49	14759/14759	---MCZ	200	added ('OK')	text/css	date:Sat,%2023%20Mar%202024%2006:30:30%20GMT	https://elfbarbrasil.com/wp-content/plugins/woo-custom-installments/assets/front/css/woo-custom-installments-front-styles.css?ver=3.8.5	C:/Os%20meus%20Sites/1001%20noites/elfbarbrasil.com/wp-content/plugins/woo-custom-installments/assets/front/css/woo-custom-installments-front-styles38b5.css	(from https://elfbarbrasil.com/?s=ew9000&post_type=product)
15:32:49	16843/16843	---MCZ	200	added ('OK')	text/css	date:Sat,%2011%20May%202024%2022:22:40%20GMT	https://elfbarbrasil.com/wp-content/plugins/wc-smart-checkout/assets/css/integrations/plugins/woocommerce-smart-coupons.css?ver=2.0.1	C:/Os%20meus%20Sites/1001%20noites/elfbarbrasil.com/wp-content/plugins/wc-smart-checkout/assets/css/integrations/plugins/woocommerce-smart-coupons7406.css	(from https://elfbarbrasil.com/?s=ew9000&post_type=product)
15:32:49	118945/118945	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Apr%202024%2014:34:27%20GMT	https://elfbarbrasil.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.3	C:/Os%20meus%20Sites/1001%20noites/elfbarbrasil.com/wp-content/plugins/elementor/assets/css/frontend-lite.min11d9.css	(from https://elfbarbrasil.com/?s=ew9000&post_type=product)
15:32:49	168895/168895	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Sep%202024%2018:35:15%20GMT	https://elfbarbrasil.com/search/ew9000/	C:/Os%20meus%20Sites/1001%20noites/elfbarbrasil.com/search/ew9000/index.html	(from https://elfbarbrasil.com/?s=ew9000&post_type=product)
15:32:49	16471/16471	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Apr%202024%2014:34:27%20GMT	https://elfbarbrasil.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Os%20meus%20Sites/1001%20noites/elfbarbrasil.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://elfbarbrasil.com/?s=ew9000&post_type=product)
15:32:49	1170/1170	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Apr%202024%2014:34:39%20GMT	https://elfbarbrasil.com/wp-content/uploads/elementor/css/post-34.css?ver=1714228479	C:/Os%20meus%20Sites/1001%20noites/elfbarbrasil.com/wp-content/uploads/elementor/css/post-34c55e.css	(from https://elfbarbrasil.com/?s=ew9000&post_type=product)
